CD,STATION,ICAO,IATA,SYNOP,LATdeg,LATmin,LONdeg,LONmin,ELEV,M,N,V,U,A,C,PRIORITY,COUNTRY CODE,LAT,LON
AK,ADAK NAS,PADK,ADK,70454,51,53N,176,39W,3,X,,T,,,,7.0,US,51.88333333333333,-176.65
AK,AKHIOK,PAKH,AKK,,56,56N,154,11W,15,X,,,,,,8.0,US,56.93333333333333,-154.18333333333334
AK,AKUTAN,PAUT,KQA,,54,08N,165,36W,25,X,,,,,,7.0,US,54.13333333333333,-165.6
AK,AMBLER,PAFM,ABL,,67,06N,157,51W,79,X,,,,,,7.0,US,67.1,-157.85
AK,ANAKTUVUK PASS,PAKP,AKP,,68,08N,151,44W,649,X,,,,,,7.0,US,68.13333333333334,-151.73333333333332
AK,ANCHORAGE INTL,PANC,ANC,70273,61,10N,150,01W,39,X,,T,X,A,,5.0,US,61.166666666666664,-150.01666666666668
AK,ANCHORAGE/LAKE H,PALH,,,61,11N,149,58W,26,X,,,,A,,7.0,US,61.18333333333333,-149.96666666666667
AK,ANCHORAGE/MERRIL,PAMR,MRI,,61,13N,149,51W,43,X,,,,A,,7.0,US,61.21666666666667,-149.85
AK,ANGOON SEAPLANE,PAGN,AGN,70383,57,30N,134,35W,2,X,,,,,,8.0,US,57.5,-134.58333333333334
AK,ANIAK,PANI,ANI,70232,61,35N,159,32W,21,X,,,,,,7.0,US,61.583333333333336,-159.53333333333333
AK,ANNETTE ISLAND,PANT,ANN,70398,55,02N,131,34W,29,X,,,X,A,,5.0,US,55.03333333333333,-131.56666666666666
AK,ANVIK,PANV,ANV,,62,39N,160,11W,91,X,,,,,,7.0,US,62.65,-160.18333333333334
AK,ARCTIC VILLAGE,PARC,ARC,,68,07N,145,35W,626,X,,,,,,7.0,US,68.11666666666666,-145.58333333333334
AK,ATKA,PAAK,AKB,,52,13N,174,12W,11,X,,,,,,7.0,US,52.21666666666667,-174.2
AK,ATQASUK BURNELL,PATQ,ATK,,70,28N,157,26W,28,X,,,,,,7.0,US,70.46666666666667,-157.43333333333334
AK,BARTER ISLAND,PABA,BTI,,70,08N,143,35W,1,X,,,,W,,7.0,US,70.13333333333334,-143.58333333333334
AK,BETHEL,PABE,BET,70219,60,47N,161,50W,28,X,,T,X,A,,5.0,US,60.78333333333333,-161.83333333333334
AK,BETTLES,PABT,BTT,70174,66,55N,151,31W,195,X,,T,,A,,6.0,US,66.91666666666667,-151.51666666666668
AK,BIG RIVER LAKES,PALV,,,60,49N,152,18W,12,X,,,,,,7.0,US,60.81666666666667,-152.3
AK,BIRCHWOOD,PABV,,,61,25N,149,31W,21,X,,,,,,7.0,US,61.416666666666664,-149.51666666666668
AK,BREVIG MISSION,PFKT,KTS,,65,20N,166,28W,8,X,,,,,,7.0,US,65.33333333333333,-166.46666666666667
AK,BRYANT ARMY AF,PAFR,FRN,70270,61,16N,149,39W,106,X,,,,,,6.0,US,61.266666666666666,-149.65
AK,BUCKLAND,PABL,BKC,,65,59N,161,09W,7,X,,,,,,7.0,US,65.98333333333333,-161.15
AK,CANTWELL,PATW,,,63,23N,148,57W,675,X,,,,,,7.0,US,63.38333333333333,-148.95
AK,CAPE LISBURNE,PALU,LUR,70104,68,53N,166,06W,8,X,,T,,W,,6.0,US,68.88333333333334,-166.1
AK,CAPE NEWENHAM,PAEH,EHM,70305,58,39N,162,04W,101,X,,T,,,,6.0,US,58.65,-162.06666666666666
AK,CAPE ROMANZOF,PACZ,CZF,70212,61,47N,166,02W,129,X,,T,,,,6.0,US,61.78333333333333,-166.03333333333333
AK,CENTRAL,PACE,,,65,34N,144,47W,286,X,,,,,,7.0,US,65.56666666666666,-144.78333333333333
AK,CENTRAL,PARL,CEM,,65,34N,144,47W,284,X,,,,,,7.0,US,65.56666666666666,-144.78333333333333
AK,CHANDALAR LAKE,PALR,WCR,,67,30N,148,29W,579,X,,,,,,7.0,US,67.5,-148.48333333333332
AK,CHEVAK,PAVA,VAK,,61,32N,165,36W,14,X,,,,,,7.0,US,61.53333333333333,-165.6
AK,CHIGNIK BAY,PAJC,,,56,19N,158,22W,10,X,,,,,,7.0,US,56.31666666666667,-158.36666666666667
